date,issue,issue_tweets_female,issue_tweets_male,total_tweets_female,total_tweets_male,mip_female,mip_male,country,male_attention,female_attention,attention,mip,total_tweets,date_int
2018-01-02,crime,0.0,5.0,21.0,196.0,0.03,0.04,us,0.0255102040816326,0.0,0.0230414746543778,0.035,217.0,0
2018-01-02,defense,4.0,8.0,21.0,196.0,0.09,0.07,us,0.0408163265306122,0.1904761904761904,0.0552995391705069,0.08,217.0,0
2018-01-02,economy,3.0,18.0,21.0,196.0,0.13,0.2,us,0.0918367346938775,0.1428571428571428,0.0967741935483871,0.165,217.0,0
2018-01-02,education,1.0,8.0,21.0,196.0,0.05,0.04,us,0.0408163265306122,0.0476190476190476,0.0414746543778801,0.045,217.0,0
2018-01-02,environment,1.0,6.0,21.0,196.0,0.08,0.07,us,0.0306122448979591,0.0476190476190476,0.032258064516129,0.075,217.0,0
2018-01-02,health,1.0,11.0,21.0,196.0,0.23,0.21,us,0.0561224489795918,0.0476190476190476,0.0552995391705069,0.22,217.0,0
2018-01-02,immigration,2.0,8.0,21.0,196.0,0.07,0.11,us,0.0408163265306122,0.0952380952380952,0.0460829493087557,0.09,217.0,0
2018-01-02,international_affairs,2.0,6.0,21.0,196.0,0.02,0.02,us,0.0306122448979591,0.0952380952380952,0.0368663594470046,0.02,217.0,0
2018-01-02,tax,4.0,23.0,21.0,196.0,0.04,0.04,us,0.1173469387755102,0.1904761904761904,0.1244239631336405,0.04,217.0,0
2018-01-09,crime,11.0,83.0,64.0,545.0,0.03,0.02,us,0.1522935779816513,0.171875,0.154351395730706,0.025,609.0,3
2018-01-09,defense,11.0,53.0,64.0,545.0,0.09,0.08,us,0.0972477064220183,0.171875,0.1050903119868637,0.0849999999999999,609.0,3
2018-01-09,economy,3.0,72.0,64.0,545.0,0.13,0.21,us,0.1321100917431192,0.046875,0.1231527093596059,0.1699999999999999,609.0,3
2018-01-09,education,2.0,15.0,64.0,545.0,0.06,0.06,us,0.0275229357798165,0.03125,0.0279146141215106,0.06,609.0,3
2018-01-09,environment,0.0,36.0,64.0,545.0,0.08,0.09,us,0.0660550458715596,0.0,0.0591133004926108,0.0849999999999999,609.0,3
2018-01-09,health,4.0,33.0,64.0,545.0,0.22,0.18,us,0.0605504587155963,0.0625,0.0607553366174055,0.2,609.0,3
2018-01-09,immigration,5.0,21.0,64.0,545.0,0.05,0.09,us,0.0385321100917431,0.078125,0.0426929392446633,0.07,609.0,3
2018-01-09,international_affairs,6.0,32.0,64.0,545.0,0.02,0.02,us,0.0587155963302752,0.09375,0.0623973727422003,0.02,609.0,3
2018-01-09,tax,1.0,23.0,64.0,545.0,0.03,0.04,us,0.0422018348623853,0.015625,0.0394088669950738,0.035,609.0,3
2018-01-16,crime,0.0,6.0,46.0,438.0,0.03,0.02,us,0.0136986301369863,0.0,0.012396694214876,0.025,484.0,4
2018-01-16,defense,0.0,32.0,46.0,438.0,0.08,0.08,us,0.0730593607305936,0.0,0.0661157024793388,0.08,484.0,4
2018-01-16,economy,9.0,45.0,46.0,438.0,0.16,0.18,us,0.1027397260273972,0.1956521739130435,0.1115702479338843,0.1699999999999999,484.0,4
2018-01-16,education,1.0,38.0,46.0,438.0,0.06,0.06,us,0.0867579908675799,0.0217391304347826,0.0805785123966942,0.06,484.0,4
2018-01-16,environment,0.0,24.0,46.0,438.0,0.08,0.07,us,0.0547945205479452,0.0,0.0495867768595041,0.075,484.0,4
2018-01-16,health,5.0,24.0,46.0,438.0,0.24,0.19,us,0.0547945205479452,0.108695652173913,0.0599173553719008,0.215,484.0,4
2018-01-16,immigration,2.0,25.0,46.0,438.0,0.06,0.13,us,0.0570776255707762,0.0434782608695652,0.0557851239669421,0.095,484.0,4
2018-01-16,international_affairs,0.0,3.0,46.0,438.0,0.01,0.01,us,0.0068493150684931,0.0,0.006198347107438,0.01,484.0,4
2018-01-16,tax,2.0,22.0,46.0,438.0,0.03,0.03,us,0.0502283105022831,0.0434782608695652,0.0495867768595041,0.03,484.0,4
2018-01-23,crime,0.0,4.0,60.0,322.0,0.04,0.02,us,0.0124223602484472,0.0,0.0104712041884816,0.03,382.0,5
2018-01-23,defense,1.0,27.0,60.0,322.0,0.11,0.09,us,0.0838509316770186,0.0166666666666666,0.0732984293193717,0.1,382.0,5
2018-01-23,economy,11.0,57.0,60.0,322.0,0.12,0.21,us,0.1770186335403726,0.1833333333333333,0.1780104712041884,0.1649999999999999,382.0,5
2018-01-23,education,5.0,22.0,60.0,322.0,0.04,0.05,us,0.0683229813664596,0.0833333333333333,0.0706806282722513,0.045,382.0,5
2018-01-23,environment,1.0,25.0,60.0,322.0,0.08,0.09,us,0.077639751552795,0.0166666666666666,0.0680628272251308,0.0849999999999999,382.0,5
2018-01-23,health,9.0,7.0,60.0,322.0,0.24,0.19,us,0.0217391304347826,0.15,0.0418848167539267,0.215,382.0,5
2018-01-23,immigration,0.0,7.0,60.0,322.0,0.07,0.07,us,0.0217391304347826,0.0,0.0183246073298429,0.07,382.0,5
2018-01-23,international_affairs,0.0,8.0,60.0,322.0,0.02,0.01,us,0.0248447204968944,0.0,0.0209424083769633,0.015,382.0,5
2018-01-23,tax,10.0,21.0,60.0,322.0,0.04,0.04,us,0.0652173913043478,0.1666666666666666,0.0811518324607329,0.04,382.0,5
2018-01-30,crime,0.0,10.0,122.0,591.0,0.05,0.03,us,0.0169204737732656,0.0,0.0140252454417952,0.04,713.0,6
2018-01-30,defense,12.0,62.0,122.0,591.0,0.06,0.07,us,0.104906937394247,0.0983606557377049,0.1037868162692847,0.065,713.0,6
2018-01-30,economy,18.0,59.0,122.0,591.0,0.12,0.19,us,0.0998307952622673,0.1475409836065573,0.1079943899018232,0.155,713.0,6
2018-01-30,education,4.0,29.0,122.0,591.0,0.06,0.06,us,0.0490693739424703,0.0327868852459016,0.0462833099579242,0.06,713.0,6
2018-01-30,environment,3.0,8.0,122.0,591.0,0.07,0.08,us,0.0135363790186125,0.0245901639344262,0.0154277699859747,0.075,713.0,6
2018-01-30,health,7.0,24.0,122.0,591.0,0.25,0.19,us,0.0406091370558375,0.0573770491803278,0.0434782608695652,0.22,713.0,6
2018-01-30,immigration,4.0,12.0,122.0,591.0,0.1,0.13,us,0.0203045685279187,0.0327868852459016,0.0224403927068723,0.115,713.0,6
2018-01-30,international_affairs,4.0,24.0,122.0,591.0,0.0,0.01,us,0.0406091370558375,0.0327868852459016,0.0392706872370266,0.005,713.0,6
2018-01-30,tax,3.0,27.0,122.0,591.0,0.02,0.02,us,0.0456852791878172,0.0245901639344262,0.0420757363253856,0.02,713.0,6
2018-02-06,crime,2.0,5.0,98.0,533.0,0.03,0.03,us,0.0093808630393996,0.0204081632653061,0.011093502377179,0.03,631.0,7
2018-02-06,defense,10.0,36.0,98.0,533.0,0.12,0.0699999999999999,us,0.0675422138836773,0.1020408163265306,0.0729001584786053,0.095,631.0,7
2018-02-06,economy,20.0,76.0,98.0,533.0,0.12,0.17,us,0.1425891181988743,0.2040816326530612,0.1521394611727416,0.145,631.0,7
2018-02-06,education,5.0,46.0,98.0,533.0,0.08,0.05,us,0.0863039399624765,0.0510204081632653,0.080824088748019,0.065,631.0,7
2018-02-06,environment,4.0,31.0,98.0,533.0,0.08,0.09,us,0.0581613508442776,0.0408163265306122,0.0554675118858954,0.0849999999999999,631.0,7
2018-02-06,health,8.0,44.0,98.0,533.0,0.23,0.16,us,0.0825515947467167,0.0816326530612244,0.0824088748019017,0.195,631.0,7
2018-02-06,immigration,7.0,7.0,98.0,533.0,0.09,0.12,us,0.0131332082551594,0.0714285714285714,0.0221870047543581,0.105,631.0,7
2018-02-06,international_affairs,5.0,16.0,98.0,533.0,0.01,0.01,us,0.0300187617260788,0.0510204081632653,0.0332805071315372,0.01,631.0,7
2018-02-06,tax,1.0,25.0,98.0,533.0,0.03,0.03,us,0.0469043151969981,0.010204081632653,0.0412044374009508,0.03,631.0,7
2018-02-13,crime,1.0,0.0,78.0,409.0,0.03,0.02,us,0.0,0.0128205128205128,0.002053388090349,0.025,487.0,8
2018-02-13,defense,1.0,21.0,78.0,409.0,0.0999999999999999,0.08,us,0.0513447432762836,0.0128205128205128,0.0451745379876796,0.09,487.0,8
2018-02-13,economy,20.0,94.0,78.0,409.0,0.11,0.2,us,0.2298288508557457,0.2564102564102564,0.2340862422997946,0.155,487.0,8
2018-02-13,education,2.0,18.0,78.0,409.0,0.06,0.07,us,0.0440097799511002,0.0256410256410256,0.0410677618069815,0.065,487.0,8
2018-02-13,environment,0.0,22.0,78.0,409.0,0.08,0.06,us,0.0537897310513447,0.0,0.0451745379876796,0.07,487.0,8
